Entry	Gene names	Organism	Gene ontology IDs
Q9UY31	hisS PYRAB16770 PAB1100	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0000105; GO:0004821; GO:0005524; GO:0005737; GO:0006427
Q9UYU4	PAB1440	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004812; GO:0005524; GO:0043039
Q9YDY7	trm1 APE_0782.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0000049; GO:0004809
I6V0F9	PFC_02680	Pyrococcus furiosus COM1	
A2BMG5	Hbut_1347	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q8TX94	leuD1 leuD_1 MK0781	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003861; GO:0009098
G0ECD4	rpl2 Pyrfu_1648	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003735; GO:0006412; GO:0015934; GO:0019843
Q8U0N0	pth PF1556	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0004045; GO:0005737
Q9UXV7	PAB1193	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003824; GO:0005975
A2BLI2	Hbut_0996	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0008233; GO:0016798
Q9YFV8	APE_0142	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003677; GO:0003700; GO:0006351; GO:0046914; GO:0046983
Q9YFW3	ggt APE_0137	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003840; GO:0006751; GO:0036374
G0EHA3	aroB Pyrfu_1469	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003856; GO:0005737; GO:0009073; GO:0009423
G0EFU2	Pyrfu_1180	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9UYH5	PAB1012	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016301
Q8U0L9	rrp41 PF1568	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0000178; GO:0005737; GO:0006401; GO:0016896
Q9V156	PAB1975	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004132; GO:0006220; GO:0008270
Q8TXU7	MK0562	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
