Entry	Gene names	Organism	Gene ontology IDs
P54038	rpl24 MJ0467	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0003735; GO:0006412; GO:0015934; GO:0019843
Q58806	MJ1411	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0008911
A0A124FG09	XD57_0739	Thermotoga naphthophila	GO:0016491; GO:0046872; GO:0051537
Q4JAJ3	gch3 Saci_0819	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0005525; GO:0009058; GO:0043740
W0DIX4	THERU_04480	Thermocrinis ruber	GO:0006355
M1J0I2	SacRon12I_09475	Sulfolobus acidocaldarius Ron12/I	
Q9WXW1	TM_0106	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0003676; GO:0004386
O66545	aq_155	Aquifex aeolicus (strain VF5)	GO:0004129; GO:0005886; GO:0016021
O28817	AF_1455	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0016021
O67262	lysA aq_1208	Aquifex aeolicus (strain VF5)	GO:0008836; GO:0009089
Q57980	MJ0560	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
O30113	AF_0124	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0016021
M1I7E0	SacN8_09730	Sulfolobus acidocaldarius N8	GO:0003677
A0A1M6T6C4	SAMN05444391_1312	Thermocrinis minervae	GO:0016021
Q9WYF7	TM_0321	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
A0A101DFE5	XD40_0127 XD48_1731	Archaeoglobus fulgidus	GO:0016021; GO:0055085
M1J4Y6	SacRon12I_10475	Sulfolobus acidocaldarius Ron12/I	
O29000	AF_1268	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0016021
O29828	AF_0419	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0003824; GO:0008152
F2KMW9	Arcve_1238	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	GO:0003723
Q59025	MJ1631	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0005975; GO:0008184; GO:0030170
E3GZ10	Mfer_0743	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0004514; GO:0009435
A0A1M6RXN2	SAMN05444391_0805	Thermocrinis minervae	
W0DDV1	THERU_07395	Thermocrinis ruber	GO:0016627; GO:0022900; GO:0050660
A0A1M6RYA0	SAMN05444391_0811	Thermocrinis minervae	
O52683	hydA	Thermotoga maritima	GO:0008137; GO:0009055; GO:0016020; GO:0042773; GO:0051536
O28321	AF_1958	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
